Tausug,Part of Speech,English Translation
batu,Noun,stone
kura',Noun,horse
bay-bay,Noun,small house
datung,Verb,to arrive
bunu',Verb,to kill
sapi',Noun,cow
tau,Noun,person
bagay,Noun,friend
bay,Noun,house
dayahan,Adjective,rich
ista',Noun,fish
sibuyas,Noun,onions
dakula',Adjective,large
bakas,Adverb,previously
kaina,Adverb,a while ago
kunu,Adverb,quote
baha',Adverb,pray tell
kalu-kalu,Adverb,perhaps
tuwi,Adverb,oops
di',Adverb,not
ka,Adverb,question marker
na,Adverb,already
pa,Adverb,still
da,Adverb,only
subay,Adverb,should
asibi',Adjective,small
pula,Adjective,red
baliskat,Adjective,inverted
marayaw,Adjective,good
ma-taud,Adjective,many
ma-bahu,Adjective,odorous
ma-bagunbun,Adjective,dusty
duhal,Verb,to hand over
kaun,Verb,to eat
langug,Verb,to tease
patay,Verb,to kill
sanda',Verb,to pawn
tahi',Verb,to sew
tangis,Verb,to cry
kustaw,Verb,to embezzle
kahuy,Noun,firewood
kugut,Verb,to extort
kula,Verb,to bleach
sibit,Verb,to clutch
panaw,Verb,to walk
huka',Verb,to crack open
pikit,Verb,to stick
buuk,Verb,to turn
bingkuk,Adjective,crooked
kutkut,Verb,to bite
timba',Verb,to shoot
puygu,Verb,to bathe
utud,Verb,to cut
tunaw,Verb,to dissolve
hinang,Verb,to make
languy,Verb,to swim
kami,Pronoun,we
akuh,Pronoun,I
kamu,Pronoun,you all
i-kaw,Pronoun,you
siah,Pronoun,he
manik,Noun,bead
bakul,Noun,basket
kutkut,Noun,bite
gaya',Noun,weapon
lutup,Noun,blister
suntuk,Noun,punch
bukug,Noun,bone
pi'gan,Noun,bowl
gu-gutgut,Noun,bow
talam,Noun,tray
taytay-an,Noun,bridge
alum,Noun,bruise
pu'lu',Noun,bullet
bastun,Noun,cane
kutu',Noun,cat
pag-timba',Noun,ceremony
sibit,Noun,claw
kaban,Noun,coffin
lampasu,Noun,mop
putu,Noun,cassava cake
tupu-an,Noun,container
dugu,Noun,corner
ba'kay,Noun,corpse
tiru',Noun,head covering
puti mata,Noun,coward
kulu',Noun,curl
baka-baka,Noun,basket
sukut	a demand for payment; demand from the spirits for an offering [fd5007a7f4c3630323adaa22b49d0ca6]	show set
luba?	"a depression, pit, hole or deep furrow in the ground; ditch, trench [fbbedc7d3fa558e6c7a7e01fb50c8029]"	show set
iru?	a dog [f0d398ff13cbbd2daee733db937a9285]	show set
tamp�pi?	a (double telescoping) basket made of coconut leaves [a8e555d780775746c325dab609e9eb9a]	show set
tasa	"a drinking cup (with a handle, made of metal) [38eed21abd8b8eafedc0f8a6c2b7b347]"	show set
t??	a drop (of liquid); a dripping or leak (from a faucet or a wound) [6a455da0d916acc9febfe26ca598c63f]	show set
ka-s?-an	a fine for touching an unmarried girl [5b215d4cad558a5f482f61355289bd19]	show set
luti?	"a flash of lightning and the accompanying thunder, thunderbolt [86bacfb99b46c8d61358df6d5775a2d9]"	show set
suli?	"a flute, fife (usually made of bamboo) [0f9e6a9fec21fe813f930b3df5c1869f]"	show set
lupi?	"a folded part of something, a line or mark made by folding, crease (as of trousers) [6e956add82734c6cfae5939801c37706]"	show set
kuta?	"a fort, stone wall, fortifications [8d5a0fd97af9c3dd4c002ae31dacd086]"	show set
manta	a full-size blanket [836331d63ecf60759f91ad61cad8878b]	show set
paliyama	a good or abundant harvest [fc190e6113b899675deeb1e26368c0f0]	show set
gili?-an	a grinder [7eec948848b6ed73b9e55ce5e95058fc]	show set
tumpuk	a group (of persons or things) [205b07497b0314b01c72361b97543b89]	show set
mata-an	"a group of things having a common source or similar features, family group under one head [bbdffdb15ae77b1a1e9cc821f5162572]"	show set
kamut	a handful [685b9479c10aaf0a751ec3cb753cba4e]	show set
sipi?	a hand of bananas [d5c51a45fab54b15a167dc051332796e]	show set
sabit ~ sa?bit	a hook (anything used to snag something else) [25fdea8359302925f47e4f7501c29cdf]	show set
ti?ug	a human voice [fb55fb7915e81d4e378ec3a7e4d9e8dd]	show set
gatus	a hundred; hundreds [3c0a032040d3804ebeef6de689bb7fff]	show set
p?t	"a kind of tree whose sap is flammable, and is a medicine for certain diseases [915a88db3064f0d97b6a8d69d3359045]"	show set
iras	a kinship term referring to the relationship between Ego and the brother-in-law or sister-in-law of his/her spouse [bd52ff72a6d04b3637ebc46760003ab1]	show set
sa?kalan	a (kitchen) chopping board [2082b16954e2d3c978e29beff6582fab]	show set
pukut	"a large fishing net, seine [e5fc4175cef30ea5d024fd31065769f2]"	show set
kawa?	"a large, round-bottomed cauldron (of different shape and larger than the ) [189167cecdd97ff04c865bb85bd3821a]"	show set
duyu?	"a large, somewhat whale-like tropical mammal; mermaid [f82fbe302162eec14c20ddd47626a689]"	show set
kanuus	a large squid [a43798caa041a28842204bfe249544b9]	show set
dahun	a leaf (of plants and trees) [80520a6ae501bf89708b1fa2fd76c6b7]	show set
su?aw	a leak of air [0088c0f154f67db08f039abe3106c785]	show set
si?aw	"a leak (of air), the sound made by leaking air [00021fcaf2d2c0415ba5bc0ff9b56ec1]"	show set
sablay	"a long, loose, collarless blouse reaching below the hips with long, loose sleeves [a3195e39e6227e1919f71f528afbd20b]"	show set
kampilan	"a long, two-handed, bladed weapon (rarely seen or used in recent times) [89a16e8c1c4403c5f175909a260cc5de]"	show set
pasal	a market [89da8c645a2a641d0b08ff025ac1f765]	show set
abat	a mild illness caused by evil spirits or dead people (usually a headache with fever that is cured by simply uttering some magic verses to drive away the evil spirits) [da487ee5d471ff590f92b8f51b4e5dc3]	show set
tutub-an	"amnion, the sac in which a baby lies during pregnancy, bag of waters [830fe935da00fca41d783813ac519076]"	show set
?aw?aw	"a muttering, mumbling, grumbling; low unintelligible sound in the throat [eb03bed91729794d90e86997a7ca0790]"	show set
ugis	an albino person [66490a3dddb9294283eb6a06ce300a64]	show set
??n	a name (of something) [70ae2d1aab7f9c0af056a7b3ac7211ac]	show set
sanam	an ant [f8745e10b7930efd22c3ed1becb32fa2]	show set
ka-kahuy-an	"an area covered with trees, woody place [da02b5eb93028e75e2a40a0939585045]"	show set
dupa	an armspan (a measure of length or depth) [7118a47311d9d6e04ebb0fdb7faca5ea]	show set
sipit-sipit	an earwig [c1dc35189316e5462abf8f9ea65c452d]	show set
away	an emphatic refusal (to do something); no! (shouted by someone who is very angry) [c65546e3cdce751c8ee58c25730fba48]	show set
pugad	a nest [9d5304e2aecb500bfdbfbc9eccbc6478]	show set
pula-pula	a newborn infant [9ce600bb0c79b1c1007621266bf4b11f]	show set
sakit atay	"anger, hatred, bitterness of feeling [b24ec106c249baa641585230b7b62c1a]"	show set
su?ka?	"an indoor game usually played by two people on a wooden block shaped like a boat, and having shallow holes along the sides where shells, pebbles, or any counters are dropped by each player [edf794c9ba2785644df376f79d1b0ee9]"	show set
