Tausug,Part of Speech,English Translation
batu,,stone
kura',,horse
bay-bay,,small house
datung,,to arrive
bunu',,to kill
sapi',,cow
tau,,person
bagay,,friend
bay,,house
dayahan,,rich
ista',,fish
sibuyas,,onions
dakula',,large
bakas,,previously
kaina,,a while ago
kunu,,quote
baha',,pray tell
kalu-kalu,,perhaps
tuwi,,oops
di',,not
ka,,question marker
na,,already
pa,,still
da,,only
subay,,should
asibi',,small
pula,,red
baliskat,,inverted
marayaw,,good
ma-taud,,many
ma-bahu,,odorous
ma-bagunbun,,dusty
duhal,,to hand over
kaun,,to eat
langug,,to tease
patay,,to kill
sanda',,to pawn
tahi',,to sew
tangis,,to cry
kustaw,,to embezzle
kahuy,,firewood
kugut,,to extort
kula,,to bleach
sibit,,to clutch
panaw,,to walk
huka',,to crack open
pikit,,to stick
buuk,,to turn
bingkuk,,crooked
kutkut,,to bite
timba',,to shoot
puygu,,to bathe
utud,,to cut
tunaw,,to dissolve
hinang,,to make
languy,,to swim
kami,,we
kamu,,you all
i-kaw,,you
siah,,he
manik,,bead
bakul,,basket
kutkut,,bite
gaya',,weapon
lutup,,blister
suntuk,,punch
bukug,,bone
pi'gan,,bowl
gu-gutgut,,bow
talam,,tray
taytay-an,,bridge
alum,,bruise
pu'lu',,bullet
bastun,,cane
kutu',,cat
pag-timba',,ceremony
sibit,,claw
kaban,,coffin
lampasu,,mop
putu,,cassava cake
tupu-an,,container
dugu,,corner
ba'kay,,corpse
tiru',,head covering
puti mata,,coward
kulu',,curl
baka-baka,,basket
sukut,,a demand for payment
luba?,,a depression
iru?,,a dog
tamp�pi?,,a (double telescoping) basket made of coconut leaves
tasa,,a drinking cup (with a handle
t??,,a drop (of liquid)
ka-s?-an,,a fine for touching an unmarried girl
luti?,,a flash of lightning and the accompanying thunder
suli?,,a flute
lupi?,,a folded part of something
kuta?,,a fort
manta,,a full-size blanket
paliyama,,a good or abundant harvest
gili?-an,,a grinder
tumpuk,,a group (of persons or things)
mata-an,,a group of things having a common source or similar features
kamut,,a handful
sipi?,,a hand of bananas
sabit ~ sa?bit,,a hook (anything used to snag something else)
ti?ug,,a human voice
gatus,,a hundred
p?t,,a kind of tree whose sap is flammable
iras,,a kinship term referring to the relationship between Ego and the brother-in-law or sister-in-law of his/her spouse
sa?kalan,,a (kitchen) chopping board
pukut,,a large fishing net
kawa?,,a large
duyu?,,a large
kanuus,,a large squid
dahun,,a leaf (of plants and trees)
su?aw,,a leak of air
si?aw,,a leak (of air)
sablay,,a long
kampilan,,a long
pasal,,a market
abat,,a mild illness caused by evil spirits or dead people (usually a headache with fever that is cured by simply uttering some magic verses to drive away the evil spirits)
tutub-an,,amnion
?aw?aw,,a muttering
ugis,,an albino person
??n,,a name (of something)
sanam,,an ant
ka-kahuy-an,,an area covered with trees
dupa,,an armspan (a measure of length or depth)
sipit-sipit,,an earwig
away,,an emphatic refusal (to do something)
pugad,,a nest
pula-pula,,a newborn infant
sakit atay,,anger
su?ka?,,an indoor game usually played by two people on a wooden block shaped like a boat
p?tu,,an instrument for making whistling sounds
sumpit-an,,an instrument used for blowing a pointed missile with the aid of a wad of kapok or cotton
likup,,an iron tool used for making holes in bamboo
lisa?,,a nit
atis,,Annona squamosa
ba?ka?,,a one-piece dugout canoe with or without outriggers
pasa?,,a pair
suput,,a paper bag
sipak,,a part or half of something
bayad,,a payment
sipit,,a peg
sipat,,a physical sense
t?g-an,,a place to sleep
gata?-gata?,,a plamt: Spilanthes iabadicensis
katam,,a plane (the carpenter�s tool used for smoothing wood)
tukun,,a pole used to propel a small boat in shallow water
mama?,,a prepared betel nut chew
kamalig,,a (private) storehouse for harvested grain
kapay,,a propeller (of a boat or ship)
kasaw,,a purlin for a roof
ka-p??-p?-an,,archipelago
suki?,,a regular customer or purchaser
l?su,,a ribbon
gusuk,,a rib (the bone)
iluk,,armpit
gamut,,a root (of a tree or plant)
lubid,,a rope made of intertwisted strands of fiber (often hemp)
tabid-tabid,,a rope-shaped confection made of flour or pounded cassava
layag,,a sail (the square sail used on small boats)
timba?-an,,a scale
li-limas,,a scoop for bailing (usually a coconut shell)
tambiluk,,a sea worm that lives on trees
ti-lawas-an,,a segment or section
kuliik,,a shriek
saput,,a shroud
tabak,,a single-legged (brass
kilat,,a (slight) streak of lightning without thunder
p�saw,,a small knife (esp. used in preparing a betel nut chew)
sapa?,,a small river
gayu?,,a small vessel made of coconut shell
ka-ti?ug,,a sound
suru?,,a spoon
mata-mata,,a spy
ta?kay,,a stem
tika?,,a step
su?ut,,asthma
pa-?iram,,a strong and sudden craving for a particular kind of food (during the early stages of pregnancy)
pudpud,,a stub
bubog,,a tall forest tree: Sterculia foetida
tulda,,a tarpaulin
tunuk,,a thorn
gi-gisgis,,a toothbrush
dula?,,a tray laden with food
buggus,,a tree: Acalypha amentacea Roxb.
balunug,,a tree: Buchanania arborescens (Bl.) Anacardiaceae
buta-buta,,a tree: Excoecaria agallocha L.
kayam,,a tree: Inocarpus fagifera
yakal,,a tree: Shorea gisok
tabun,,a type of quail a little smaller than a chicken
ina?-un,,aunt
si?al,,a wedge
latigu,,a whip with a rod and an lash attached at one end
lubbak,,a wide depression or hole in the ground
ba-bai,,a woman
kampil,,a woven container of coconut leaves used for keeping fruit or raw or cooked provisions
bahu?,,bad odor
umpan,,bait for animals or fish
upaw,,bald on the crown of the head
patu?,,bamboo
gakit,,banded with continuous winding with overlapping ends not joined together
da?da?-un,,be broiled or roasted on the embers
lumut-un,,become covered with moss
lunuk,,become soft
kaun-un,,be eaten by someone
luwa-an,,be ejected from the mouth
pukpuk-un,,be hammered
ka-hulih-an,,behind
ulih-an,,behind
la?aw-un,,be infested with (botflies)
kulluk,,bent (as a twig)
ku?ku?,,bent over
manuk-manuk,,bird
ma-pait,,bitter (as medicine)
pait,,bitterness
dugu?,,blood
ma-pundul,,blunt
tumpul,,blunt
ma-bukug,,bony (as a fish)
la?aw,,botfly
utuk,,brain
tumbaga,,brass
duru?,,breast
sinag,,brightness
mag-da?da?,,broil or roast something on the embers (as meat or fish)
paspas-i,,brush it off (imper.)
dukut,,burnt rice (at the bottom of the rice pot)
buli?,,buttocks
gatus-an,,by the hundreds
kubal,,callus
usu?,,carry someone in a litter or by interlacing the hands to form a seat
puun,,cause
kapuk,,Ceiba pentandra Tree cotton
si?ka?,,characterized by spread legs
pis?i ~ pisni,,cheek
putput-an,,chimney
su?su?,,China
ma-p??,,choosy
tutuy,,clitoris
lapat,,closed
gabun,,cloud
andum,,cloud (dark)
ma-gabun,,cloudy
apul,,coagulated blood
ma-sapla,,coarse
niyug,,Cocos nucifera
l?d,,come down from higher ground
uwi?,,come or go home
ma-s??,,commit a mistake
tubul,,constipation
sawan,,convulsions (can be fatal in children)
tambuk,,corpulence
pakay-an,,costume
talaw-an,,cowardly
kaga?,,crab (generic)
pikuk,,crippled (by having the arm bent
libat,,cross-eyed
bata?-an,,crosspiece fastened across a canoe to support and balance the outriggers
uma,,cultivated field or farm
utas,,cut something apart
ma-lindum,,dark
lindum,,darkness
tugun,,date
uta?,,debt
layu?,,distance
mag-tu,,divide into three equal parts
iru?,,dog
manuk,,domestic chicken
ma-lantik,,double-jointed
umaw,,dumb (unable to speak)
puli?,,dust or tiny particle that lodges in one�s eye
linug,,earthquake
kaun,,eat
iklug,,egg
siku,,elbow (the belief of the old people is that if someone gives something to someone and then takes it back
gata?,,emulsion of coconut (a liquid preparation resembling milk obtained by soaking fresh grated coconut in water and then squeezing out the juice)
banta,,enemy
kaya,,energy
tuput,,enough
tabla,,even
talaw,,excessive fear
mata,,eye (as an organ of sight)
kilay,,eyebrow
hulug,,fall or drop
ma-layu?,,far
bulan puasa,,fasting month for Muslims
kukku,,fingernail
gulamay,,finger
ubus,,finished
ma-hugut,,firm
paksiyu,,fish or meat cooked in vinegar
lima,,five
dali?,,flange
datag,,flat
kutu,,flea
ka-kaun,,food
pag-kaun,,food
siki,,foot
dagit,,for a bird of prey to seize or snatch something
dukut,,(for a flammable substance) to ignite or be ignited
mag-kilat,,for a flash of lightning to occur
t??,,for a liquid or the surface it is on to drip
mag-sumpit,,(for a liquid) to squirt
mag-linug,,for an earthquake to occur
pag-linug-an,,for an earthquake to occur
lantik,,for a person or animal�s torso or limb to bend in the opposite direction from usual
mag-sa?l�d,,for a vessel to run aground
sa?l�d,,for a vessel to run aground
