word,type,replacement,emotion,source
abaca,n.,Manila Hemp,Neutral,pdf+web
abaja,v.,to go down,Neutral,pdf+web
abajada,adj.,downwards,Neutral,pdf+web
abajo,adv.,down/below/under/bottom,Neutral,pdf+web
abal-abal,n.,big waves,Neutral,pdf+web
abandona,v.,abandon,Neutral,pdf+web
abandonado,adj.,abandoned/deserted,Neutral,pdf+web
abandonao,,abandoned,Neutral,pdf
abanica,v.,to fan,Neutral,pdf+web
abanico,n.,fan,Neutral,pdf+web
abdo,n.,hiel,Neutral,pdf+web
abdomen,,abdomen,Neutral,pdf
abducta,v.,to abduct,Neutral,pdf+web
abembao,"""crazy",foolish,Neutral,pdf
abierto,adj.,open,Neutral,pdf+web
abilidad,,ability,Neutral,pdf
abio,n.,packed lunch,Neutral,pdf+web
abogado,n.,lawyer,Neutral,pdf+web
abogao,,lawyer,Neutral,pdf
abona,v.,to defray expenses,Neutral,pdf+web
abonante,n.,payer of someone's bill,Neutral,pdf+web
abono,n.,fertilizer,Neutral,pdf+web
abordo,adj.,on board,Neutral,pdf+web
aborto,,abortion,Neutral,pdf
abrasa,,to embrace,Neutral,pdf
abrasada,n.,embrace,Neutral,pdf+web
abrasador,n.,long pillow,Neutral,pdf+web
abraso,n.,embrace,Neutral,pdf+web
abraza,v.,to embrace,Neutral,pdf+web
abri,,open,Neutral,pdf+web
abridor,n.,can opener,Neutral,pdf+web
abril,n.,April,Neutral,pdf+web
abrí,v.,to open,Neutral,pdf
abstene,v.,to abstain,Neutral,pdf+web
abuela,n.,grandmother,Neutral,pdf+web
abuelo,n.,grandfather,Neutral,pdf+web
abultado,adj.,bulging/protruding,Neutral,pdf+web
abundancia,adj.,abundant/plenty,Neutral,pdf+web
aburrido,adj.,annoyed,Neutral,pdf+web
abusa,v.,to abuse,Neutral,pdf+web
abusado,adj.,abusive,Neutral,pdf+web
abuso,n.,affront/abuse,Neutral,pdf+web
abuya,v.,to appear,Neutral,pdf+web
aca,,marker for ordinal number (aca-dos â second),Neutral,pdf
acaba,v.,to finish,Satisfaction,pdf+web
acabado,adj.,finished,Neutral,pdf+web
acabao,,finished,Neutral,pdf
acabar,adv.,after,Neutral,pdf+web
acados,,second,Neutral,pdf
acasiete,,seventh,Neutral,pdf
acaso,adv.,in case/perhaps,Neutral,pdf+web
accepta,,accept,Neutral,pdf
acceptao,,accepted,Neutral,pdf
accesoria,n.,accessory,Neutral,pdf
accidenta,v.,to meet an accident,Urgency,pdf+web
accidentalmente,adj.,accidentally,Neutral,pdf
accidente,n.,accident,Urgency,pdf+web
accion,,action,Neutral,pdf+web
acción,n.,act/action,Neutral,pdf
aceitada,adj.,oiling,Neutral,pdf
aceite,n.,oil,Neutral,pdf+web
aceite crudo,n.,crude oil,Neutral,pdf+web
acerca,"""about","regarding, on",Neutral,pdf
acorda,,to remember,Neutral,pdf
acostumbra,,to accustom,Neutral,pdf
acta,,to act,Neutral,pdf
acto,,act,Neutral,pdf
actual,,actual,Neutral,pdf
actualmente,,actually,Neutral,pdf
acusa,,to accuse,Neutral,pdf
acusacion,"""accusation","charge, prosecution, complaint",Frustration,pdf
acusación,n,accusation,Neutral,pdf
acusador,,accusser,Neutral,pdf
acustao,,laid,Neutral,pdf
adelantao,"""advanced","forward, progressed",Neutral,pdf
adelante,"""ahead","onward, forth, forward",Neutral,pdf
ademas,"""moreover","also, besides, furthermore",Neutral,pdf
adentro,"""inside","in, within, inward, indoor",Neutral,pdf
adios,,goodbye,Neutral,pdf
adiós,n,goodbye,Neutral,pdf
adjetivo,,adjective,Neutral,pdf
administra,"""to administer",to attend,Neutral,pdf
administracion,,administration,Neutral,pdf
administración,n,administration,Neutral,pdf
